128 128
    0     0    0.04877
    0     1    0.06416
    0     2    0.07887
    0     3    0.09229
    0     4    0.10455
    0     5    0.11584
    0     6    0.12630
    0     7    0.13603
    0     8    0.14511
    0     9    0.15361
    0    10    0.16157
    0    11    0.16903
    0    12    0.17603
    0    13    0.18258
    0    14    0.18871
    0    15    0.19444
    0    16    0.19979
    0    17    0.20478
    0    18    0.20942
    0    19    0.21373
    0    20    0.21771
    0    21    0.22139
    0    22    0.22477
    0    23    0.22786
    0    24    0.23069
    0    25    0.23325
    0    26    0.23557
    0    27    0.23764
    0    28    0.23949
    0    29    0.24111
    0    30    0.24253
    0    31    0.24374
    0    32    0.24477
    0    33    0.24561
    0    34    0.24627
    0    35    0.24677
    0    36    0.24711
    0    37    0.24730
    0    38    0.24734
    0    39    0.24725
    0    40    0.24703
    0    41    0.24668
    0    42    0.24621
    0    43    0.24563
    0    44    0.24495
    0    45    0.24416
    0    46    0.24328
    0    47    0.24230
    0    48    0.24124
    0    49    0.24010
    0    50    0.23887
    0    51    0.23758
    0    52    0.23621
    0    53    0.23477
    0    54    0.23328
    0    55    0.23172
    0    56    0.23010
    0    57    0.22843
    0    58    0.22671
    0    59    0.22493
    0    60    0.22312
    0    61    0.22125
    0    62    0.21935
    0    63    0.21740
    0    64    0.21542
    0    65    0.21340
    0    66    0.21134
    0    67    0.20926
    0    68    0.20714
    0    69    0.20499
    0    70    0.20281
    0    71    0.20061
    0    72    0.19837
    0    73    0.19612
    0    74    0.19384
    0    75    0.19153
    0    76    0.18920
    0    77    0.18685
    0    78    0.18448
    0    79    0.18209
    0    80    0.17968
    0    81    0.17724
    0    82    0.17479
    0    83    0.17232
    0    84    0.16983
    0    85    0.16732
    0    86    0.16479
    0    87    0.16224
    0    88    0.15967
    0    89    0.15708
    0    90    0.15448
    0    91    0.15185
    0    92    0.14920
    0    93    0.14653
    0    94    0.14384
    0    95    0.14113
    0    96    0.13839
    0    97    0.13563
    0    98    0.13284
    0    99    0.13002
    0   100    0.12718
    0   101    0.12431
    0   102    0.12140
    0   103    0.11846
    0   104    0.11548
    0   105    0.11247
    0   106    0.10941
    0   107    0.10631
    0   108    0.10316
    0   109    0.09996
